osmid	x	y	primary
1761718880	-21.799243	64.0779401	False
1761718883	-21.7857715	64.0804245	False
1766587821	-21.8053733	64.0970462	True
1766587832	-21.8055589	64.0970391	True
1766587899	-21.804789	64.09719	True
1767668285	-21.833555	64.0935558	False
1767675603	-21.8335198	64.0926898	False
1767675608	-21.8325967	64.0923099	False
1770032467	-21.8945835	64.0831974	False
1770032628	-21.9283257	64.075065	False
1773080177	-21.7440197	64.0985203	False
1773890774	-21.9009197	64.1289522	False
1776089055	-21.8666185	64.1136109	True
1776089063	-21.8672393	64.1138304	False
1776095051	-21.899054	64.1145164	True
1777327352	-21.8535841	64.1120223	False
1781548679	-21.7762059	64.1140687	False
1782467589	-21.7798254	64.1014793	True
1782467598	-21.7797895	64.1013552	True
1782467604	-21.7805694	64.1012988	False
1782467608	-21.7812411	64.1014453	False
1785916781	-21.7446442	64.1272827	False
1785916804	-21.7471779	64.1273038	False
1785918310	-21.7446639	64.1268662	False
1785918347	-21.7472422	64.1268333	False
1785940396	-22.0236097	64.11043	False
1785975383	-21.8365722	64.2406525	False
1785975395	-21.8361965	64.2406649	False
1785975415	-21.8362186	64.2405689	False
1785975437	-21.8364038	64.2407972	False
1785975447	-21.8364831	64.240548	False
1785975450	-21.8365154	64.2405584	False
1785975452	-21.8362533	64.2406946	False
1785975474	-21.8362417	64.2405582	False
1785975478	-21.836465	64.2407048	False
1786097503	-21.9781443	64.0410132	False
1786097568	-21.9804786	64.0428706	False
1786097570	-21.9700946	64.0429191	False
1786097577	-21.9778646	64.0432107	False
1786097584	-21.9807037	64.0433173	False
1786097600	-21.9812097	64.0432679	True
1786097624	-21.9510057	64.0442077	True
1786097702	-21.9757258	64.0478713	False
1786097716	-21.9809578	64.0500545	False
1786097725	-21.9796832	64.0500958	False
1786097737	-21.9791101	64.0505953	False
1786796931	-21.976468	64.0485467	False
1787658317	-21.9670739	64.0555018	False
1787754968	-22.0156045	64.1048294	False
1787762574	-22.0135315	64.1062488	False
1787762617	-22.0134806	64.1042934	False
1787762620	-22.0136018	64.1065188	False
1787762641	-22.012155	64.1065069	False
1787762655	-22.0107934	64.1050631	False
1787762659	-22.0107117	64.106779	False
1787804967	-22.0201646	64.1036623	False
1787804980	-22.0224887	64.1029457	False
1787805020	-22.0194099	64.1035694	False
1787860904	-22.0209891	64.0994869	False
1788008878	-21.934527	64.0617215	False
1788008938	-21.9594514	64.0688911	True
1788008956	-21.9646845	64.0697125	False
1788008957	-21.9585558	64.0697484	True
1788008985	-21.9682478	64.0727985	False
1788009011	-21.9674412	64.0736316	False
1788009012	-21.967995	64.0736321	False
1788009030	-21.9524031	64.0741695	False
1788009058	-21.9505293	64.0749854	False
1788009061	-21.9515861	64.0750145	False
1788009150	-21.9689103	64.0765784	False
1788009191	-21.9552782	64.0770928	False
1788009209	-21.9559494	64.0774496	False
1788009219	-21.9713765	64.0778078	False
1788009252	-21.9617155	64.0795793	True
1788009253	-21.9615747	64.0795937	True
1788009255	-21.9618078	64.0796715	True
1788009256	-21.9616296	64.0796898	True
1788009257	-21.9610272	64.0797241	True
1788009263	-21.9619233	64.0798637	False
1788009267	-21.9617355	64.0799385	False
1788009280	-21.9387534	64.0801953	False
1788009283	-21.9365186	64.0803298	False
1788009294	-21.9612346	64.080943	False
1788009300	-21.9634097	64.0812038	False
1788009301	-21.958334	64.0812768	False
1788009304	-21.9638883	64.0813655	False
1788751700	-22.0351195	64.0959076	False
1788753844	-22.0337811	64.0958649	False
1788779240	-22.0346342	64.1012522	False
1788779262	-22.0343426	64.1013231	False
1788934577	-21.8284796	64.2381584	False
1788934595	-21.829493	64.2389465	False
1788934600	-21.8267868	64.2399226	False
1788946949	-21.8322677	64.2424935	True
1789120473	-21.9818385	64.0569602	False
1789120674	-21.9560645	64.0666565	True
1789148184	-21.9182251	64.0735766	False
1789180144	-21.9317884	64.0724112	False
1789180152	-21.937491	64.0727079	False
1792544201	-21.9569749	64.0585363	False
1792544268	-21.9447004	64.0634918	False
1794737745	-21.9253616	64.1019168	False
1795716881	-21.6911619	64.1620985	False
1795716888	-21.6903614	64.1624953	False
1795716890	-21.6915429	64.1622357	False
1795723057	-21.6892693	64.160349	False
1797086956	-21.6693398	64.1599186	False
1797086969	-21.6707189	64.1594569	False
1797100846	-21.6687615	64.1596911	False
1797100923	-21.6645529	64.1590278	False
1797749348	-21.9543662	64.0644692	False
1798758767	-21.8843685	64.0924352	False
1798788148	-21.9411499	64.0861389	False
1799624312	-21.9536671	64.0921513	False
1799624324	-21.9548757	64.0919695	False
1799802515	-21.9427042	64.0917302	False
1799802529	-21.9459494	64.0919848	False
1799835560	-21.9418941	64.0951127	False
1799835821	-21.9404001	64.0951622	False
1799841298	-21.9422883	64.0955385	False
1799841361	-21.9402794	64.0952957	False
1799841393	-21.9401238	64.0953339	False
1801699166	-21.7063257	64.1653907	False
1801729696	-21.7622264	64.1439963	False
1804193512	-21.9322677	64.1079788	False
1804199182	-21.9391608	64.1112765	False
1804229153	-21.8921554	64.1028753	False
1804229155	-21.885688	64.1032405	False
1804229157	-21.8870073	64.1032312	False
1804229161	-21.8850253	64.1038593	False
1804229165	-21.885919	64.1037833	False
1804229166	-21.8892501	64.1035416	False
