u	v	length	name
26452632	26452630	190.5887939153268	Skólabraut
26452632	26452633	77.39595758762971	Skólabraut
26452633	26452632	77.39595758762971	Skólabraut
26452633	745212364	235.77910098254466	['Kirkjubraut', 'Nesvegur']
26452633	26452645	127.67414890744858	Kirkjubraut
26452645	26452649	22.612794912573975	Kirkjubraut
26452645	26452633	127.67414890744858	Kirkjubraut
26452645	26452652	56.50135370590908	Kirkjubraut
26452646	26452660	24.103040166140485	Kirkjubraut
26452646	26452648	10.273676253857692	Kirkjubraut
26452646	26452647	10.628840135447602	Kirkjubraut
26452647	26452646	10.628840135447602	Kirkjubraut
26452648	26452646	10.273676253857692	Kirkjubraut
26452649	26452645	22.612794912573975	Kirkjubraut
26452649	8584148846	13.487855309916846	Kirkjubraut
26452649	8584148847	9.286908022733568	Kirkjubraut
26452652	26452630	76.3553870722226	Skólabraut
26452652	26452645	56.50135370590908	Kirkjubraut
26452652	26452660	19.90319905905006	Kirkjubraut
26452660	26452646	24.103040166140485	Kirkjubraut
26452660	26452652	19.90319905905006	Kirkjubraut
26452660	280629512	74.87293676401713	Kirkjubraut
26452677	269072829	6.116646863341668	Austurströnd
26452677	1038799468	11.92355544159102	Suðurströnd
26452679	1028946102	11.55955609021417	Norðurströnd
26452679	537385962	194.54299055824802	Norðurströnd
26452686	7638157360	23.242091313113004	Hofgarðar
26452688	26452703	36.79644589282502	Bollagarðar
26452688	26452689	43.40094071955285	Bollagarðar
26452688	33393153	55.08328339147715	Bollagarðar
26452689	26452699	36.5901559693926	Bollagarðar
26452689	26452690	63.26565244570532	Bollagarðar
26452689	26452688	43.40094071955285	Bollagarðar
26452690	26452689	63.26565244570532	Bollagarðar
26452690	26452698	104.41548713261915	Bollagarðar
26452690	26452691	48.71803568503409	Bollagarðar
26452691	26452696	87.56869668492513	Bollagarðar
26452691	26452692	48.492550486836876	Bollagarðar
26452691	26452690	48.71803568503409	Bollagarðar
26452692	26452695	67.834557584243	Bollagarðar
26452692	26452691	48.492550486836876	Bollagarðar
26452692	26452694	105.99098749756561	Bollagarðar
26452694	26452692	105.99098749756561	Bollagarðar
26452695	26452692	67.834557584243	Bollagarðar
26452696	26452691	87.56869668492513	Bollagarðar
26452698	26452690	104.41548713261913	Bollagarðar
26452699	26452689	36.5901559693926	Bollagarðar
26452699	26452700	36.50677027765721	Bollagarðar
26452699	5532208793	37.11643643697358	Bollagarðar
26452700	26452699	36.50677027765721	Bollagarðar
26452702	5532208793	33.14761648475698	Bollagarðar
26452703	26452688	36.79644589282502	Bollagarðar
26452703	1125710369	36.897490007134635	Bollagarðar
26452703	26452705	39.661672800654515	Bollagarðar
26452703	26452706	44.219031485301954	Bollagarðar
26452705	26452703	39.661672800654515	Bollagarðar
26452706	26452707	37.71693279147201	Bollagarðar
26452706	26452708	39.2951829000929	Bollagarðar
26452706	26452703	44.219031485301954	Bollagarðar
26452707	26452706	37.71693279147201	Bollagarðar
26452708	26452706	39.2951829000929	Bollagarðar
26452710	26452717	309.8318805761988	Vesturströnd
26452710	26452713	231.09009305526322	Barðaströnd
26452710	33393270	15.776173639962302	Barðaströnd
26452713	26452710	231.0900930552632	Barðaströnd
26452717	26452710	309.8318805761987	Vesturströnd
26452718	2447645210	1.9664984866867405	Fornaströnd
26452718	26449748	16.71561251026879	Fornaströnd
26452718	26452729	329.35116262490953	Látraströnd
26452720	2447645210	229.1367660337085	Fornaströnd
26452729	26452718	329.35116262490953	Látraströnd
26459538	26459635	70.39590008681336	Skerjabraut
26459538	26459540	97.24826519932739	Nesvegur
26459538	26449006	285.794231146679	Nesvegur
26459540	26459574	9.01368266560226	Kolbeinsmýri
26459540	1109026515	128.7496859407138	Nesvegur
26459540	26459538	97.24826519932738	Nesvegur
26459545	33393470	58.19228511901786	Nesvegur
26459545	27141977	46.74989880534635	Nesvegur
26459545	8702452306	87.55263136310182	
26459549	26586211	366.7509182620365	Sörlaskjól
26459549	26604278	106.63986113210328	Granaskjól
26459549	6600286282	43.965819865171625	Nesvegur
26459549	26459554	304.4870645543793	Nesvegur
26459554	1495196497	23.48225738871636	Kaplaskjólsvegur
26459554	1495196517	21.84687720721487	Ægisíða
26459554	26459549	304.48706455437934	Nesvegur
26459554	26586211	85.62689896179084	Faxaskjól
26459562	269072807	9.629470568074357	Öldugrandi
26459562	26586172	223.36558185868904	Öldugrandi
26459562	26748584	111.28510080109504	Eiðsgrandi
26459574	26459620	67.98808898045058	Kolbeinsmýri
26459574	26459540	9.01368266560226	Kolbeinsmýri
26459574	9170405162	183.1710655170437	Suðurmýri
26459580	26471928	136.62641334712512	Suðurmýri
26459580	26459589	76.5956626036048	Grænamýri
26459580	33393470	10.036472556418902	Grænamýri
26459589	26459591	41.20786211714288	Grænamýri
26459589	1858758490	46.31964241522674	Grænamýri
26459589	26459580	76.59566260360481	Grænamýri
26459591	26459589	41.20786211714288	Grænamýri
26459591	7917187286	46.15198295610165	Grænamýri
26459591	26459593	36.309207461929375	Grænamýri
26459593	26459598	39.40288217389388	Tjarnarmýri
26459593	26459596	96.81932592222095	Tjarnarmýri
26459593	26459591	36.309207461929375	Grænamýri
26459596	26459593	96.81932592222095	Tjarnarmýri
26459598	26459593	39.40288217389388	Tjarnarmýri
26459598	26459603	60.38290031076342	Tjarnarmýri
26459598	26459600	72.04177805197786	Tjarnarmýri
26459600	26459598	72.04177805197786	Tjarnarmýri
26459603	26459598	60.38290031076342	Tjarnarmýri
26459603	26471928	80.51404997293544	Tjarnarmýri
26459603	26459606	46.18041427610935	Eiðismýri
26459606	26459611	94.51375626676788	Eiðismýri
26459606	26459603	46.18041427610935	Eiðismýri
26459606	26459620	80.33385511537566	Eiðismýri
26459611	26459606	94.51375626676788	Eiðismýri
26459617	26459618	23.58952772650523	Kolbeinsmýri
26459617	26459619	8.0302060012892	Kolbeinsmýri
26459617	26459620	58.392378000874615	Kolbeinsmýri
26459618	26459617	23.58952772650523	Kolbeinsmýri
26459619	26459617	8.0302060012892	Kolbeinsmýri
26459620	26459574	67.98808898045058	Kolbeinsmýri
26459620	26459617	58.392378000874615	Kolbeinsmýri
26459620	26459606	80.33385511537566	Eiðismýri
26459620	26459629	117.41181383787402	Eiðismýri
26459629	26459620	117.41181383787399	Eiðismýri
26459635	26459637	71.62575271188138	Skerjabraut
26459635	1221401050	17.073981210058395	Selbraut
26459635	26459538	70.39590008681336	Skerjabraut
26459637	26459638	24.767383690573933	Skerjabraut
26459637	26459635	71.62575271188138	Skerjabraut
26459637	26459658	287.8606904340029	Sólbraut
26459638	26459640	47.144350115281995	Skerjabraut
26459638	26459637	24.767383690573933	Skerjabraut
26459640	26459638	47.144350115281995	Skerjabraut
26459640	26459644	84.47124211789838	Hamarsgata
26459640	26459660	301.44179520347444	Sæbraut
26459644	26459640	84.47124211789838	Hamarsgata
26459645	26459647	45.07239536315684	Selbraut
26459645	1221401050	29.930426103336437	Selbraut
26459645	26459646	86.98327093898784	Selbraut
26459646	26459645	86.98327093898784	Selbraut
26459647	26459649	48.88483834513538	Selbraut
26459647	26459645	45.07239536315684	Selbraut
26459647	26459648	99.04278430473025	Selbraut
26459648	26459647	99.04278430473025	Selbraut
26459649	26459647	48.88483834513538	Selbraut
26459649	26459651	103.46192776322322	Selbraut
26459649	26459658	183.31933727745144	Selbraut
26459651	26459649	103.46192776322322	Selbraut
26459658	26459637	287.8606904340029	Sólbraut
26459658	26459660	72.55082290677541	Selbraut
26459658	26459649	183.31933727745138	Selbraut
26459660	26459640	301.44179520347444	Sæbraut
26459660	26459662	74.34139967386471	Selbraut
26459660	26459658	72.55082290677541	Selbraut
26459662	26459660	74.34139967386471	Selbraut
26459676	26459679	48.27338745247329	Lambastaðabraut
26459676	26459638	152.04414373388857	Lambastaðabraut
26459679	26459676	48.27338745247329	Lambastaðabraut
26459679	6600286284	12.004404543001325	Tjarnarból
26459679	27141976	161.4792581719756	Tjarnarból
26459681	6600286284	44.79699002828375	Tjarnarból
26471908	26459562	68.19229236380602	Eiðsgrandi
26471917	269072796	7.6308311662709585	Keilugrandi
26471917	26748628	118.2521514693379	Keilugrandi
26471917	2053412306	132.7431288682039	Eiðsgrandi
26471926	26471931	3.9416728190167016	Grandatorg
26471928	1109026515	9.343366499014019	Tjarnarmýri
26471928	26459574	127.40480285289166	Suðurmýri
26471928	26459603	80.51404997293544	Tjarnarmýri
26471931	34825833	120.82147426835706	Hringbraut
26471931	470330442	27.14644213681386	Grandatorg
26471933	34825895	104.30005294517346	Ánanaust
26471933	26471934	24.279446705667844	Grandatorg
26471934	26471936	19.27240517111952	Grandatorg
26471936	26471926	29.558505183276793	Grandatorg
26471936	269072791	232.38188721961512	Eiðsgrandi
26471941	1466857419	5.863759586355052	Hringbraut
26471941	267333546	43.89845807606265	Meistaravellir
26471945	26471948	24.81232372564726	Melatorg
26471948	26769967	185.93829058950786	Suðurgata
26471948	26471949	17.710802034711428	Melatorg
26471949	1856463249	7.762390306924951	Melatorg
26471951	470330416	24.484181888987184	Melatorg
26471955	1466755096	130.7208641931255	Hringbraut
26471955	26471945	22.56691746430267	Melatorg
26471969	1257910140	34.1809747611433	Miklabraut
26471970	34186325	12.2484164950009	Langahlíð
26471970	1281415018	202.3919117480537	Miklabraut
26471976	470330429	3.657903570808088	Grandatorg
26471979	1222527374	18.06943556236983	Grandatorg
26471979	1222527289	39.335101633488726	Grandagarður
26471984	26471934	372.9497169864232	Ánanaust
26471984	26471976	25.23235248117384	Grandatorg
26471989	470330426	105.27137344112755	Fiskislóð
26471989	317266530	85.72037370268018	Fiskislóð
26471992	26478202	131.65688920934568	Grunnslóð
26471992	786082142	71.89201167825755	Fiskislóð
26471992	317266530	124.78953977574415	Fiskislóð
26471997	786088836	182.7401334144892	Hólmaslóð
26471997	26478210	90.81790319356261	Hólmaslóð
26471997	613706955	123.25818881192444	Fiskislóð
26478202	26471992	131.65688920934568	Grunnslóð
26478202	419670692	204.1752467675763	Grandagarður
26478202	26478210	403.5339313453329	['Hólmaslóð', 'Grandagarður']
26478210	1202947056	143.54247023016237	['Eyjarslóð', 'Járnbraut']
26478210	26471997	90.8179031935626	Hólmaslóð
26478210	26478202	403.53393134533286	['Hólmaslóð', 'Grandagarður']
26479325	5998306276	7.437387589822133	Lækjargata
26480961	1240462574	56.00064397810572	Sæbraut
26480977	34186922	319.467905498782	
26480977	35787411	165.11673130018715	Sæbraut
26480981	35787111	193.41641297922513	Reykjanesbraut
26480984	661505354	494.14598146601224	Reykjanesbraut
26481001	1186615001	216.43447787569974	Arnarnesvegur
26481001	703503988	529.6528373976223	Reykjanesbraut
26481016	1221993938	10.175347927149511	Egilsgata
26481016	21579325	157.41698056735848	Snorrabraut
26481016	35624831	242.09006886030556	Egilsgata
26481021	21579369	138.28254493047848	Laugavegur
26481021	26604809	76.79668924304647	Snorrabraut
26481023	1221993859	9.925948209542348	Borgartún
26481023	1204996745	139.03711470557914	Snorrabraut
26481026	21579369	76.5826470653883	Barónsstígur
26481026	35625054	109.96756556234213	Barónsstígur
26481026	26481028	144.6974458450623	Hverfisgata
26481026	1204996745	136.660527961865	Hverfisgata
26481027	35625743	56.85249020466562	Frakkastígur
26481027	21579354	233.46624544684337	Hverfisgata
26481027	26481028	170.6236997105731	Hverfisgata
26481028	35625650	55.15067282705482	Vitastígur
26481028	3028803058	78.56300272040491	Vitastígur
26481028	26481027	170.62369971057316	Hverfisgata
26481028	26481026	144.6974458450623	Hverfisgata
26481031	1457629352	263.6200634511995	Bústaðavegur
26481038	661505274	12.313148523015585	Litlahlíð
26481038	251962223	182.9635227155706	Bústaðavegur
26481043	1447480391	6.103372622843701	Bústaðavegur
26481043	1447480378	31.57061501240781	Suðurhlíð
26481046	36316142	97.53487486657775	Kringlumýrarbraut
26481046	451709606	79.18749000750059	Bústaðavegur
26481052	661505335	12.39343234575828	Háaleitisbraut
26481052	1232405006	24.914110800951562	Bústaðavegur
26481056	661036946	178.09965434058472	Bústaðavegur
26481056	1344423131	135.10024248795253	Bústaðavegur
26481060	1242541296	125.41683789444501	Bústaðavegur
26481060	5043490913	184.72325885171387	Bústaðavegur
26481062	5043490917	8.336716297220605	Réttarholtsvegur
26481062	323460772	33.52735405174645	Hörgsland
26481062	1243941115	84.1635619175276	Bústaðavegur
26481064	8928683477	77.83864097186607	Ásgarður
26481064	251691858	129.4132780721737	Bústaðavegur
26481064	251691926	162.69879729482167	Bústaðavegur
26481069	661036951	9.111129394292915	Sogavegur
26481069	323034548	30.27659109569533	Stjörnugróf
26481069	26481070	128.5392742177465	Bústaðavegur
26481070	661036951	128.1237305642261	Bústaðavegur
26481070	8858543508	60.88044656940166	Bústaðavegur
26481074	661036956	60.9459025178013	
26481074	35787282	43.417141624495926	Bústaðavegur
26482479	59645186	18.74710634328668	Faxagata
26482479	1299372814	29.163463394122385	Sæbraut
26482515	5012583819	22.50242371144102	Strandgata
26482515	5012118216	74.65562075436173	Strandgata
26490126	26756922	203.0556183644613	Hagamelur
26490126	616021627	155.38481856590184	Hagamelur
26490126	26756899	76.41975042900972	Hofsvallagata
26490126	26756898	107.12874963518138	Hofsvallagata
26586172	26459562	223.365581858689	Öldugrandi
26586211	26459549	366.7509182620364	Sörlaskjól
26586211	26586222	270.02846544365354	Sörlaskjól
26586211	26586222	286.323517256749	Faxaskjól
26586211	26459554	85.62689896179086	Faxaskjól
26586222	26586211	270.02846544365354	Sörlaskjól
26586222	26586211	286.32351725674897	Faxaskjól
26586222	26586225	92.76937974195253	Faxaskjól
26586225	26604332	292.45564077797593	Ægisíða
26586225	26586222	92.76937974195253	Faxaskjól
26586225	26756893	44.44316748306724	Ægisíða
26586225	26604303	48.00084625679587	Hofsvallagata
26586230	1242265192	79.25451425247243	Ægisíða
26586230	26756893	98.47672936877933	Ægisíða
26586230	1495196517	191.11223945333282	Ægisíða
26604278	26604284	43.90657482233841	Granaskjól
26604278	26459549	106.63986113210328	Granaskjól
26604278	26604287	15.736027259388043	Granaskjól
26604284	26604278	43.90657482233841	Granaskjól
26604287	26604278	15.736027259388043	Granaskjól
26604303	26756893	59.5465148420369	Ægisíða
26604303	26586225	48.00084625679587	Hofsvallagata
26604303	26604305	64.96860915346001	Hofsvallagata
26604305	5986642448	34.25557855964626	Hofsvallagata
26604305	26604303	64.96860915346001	Hofsvallagata
26604309	26756986	7.319796879447608	Neshagi
26604309	5986642447	141.87511110089213	Neshagi
26604311	26604315	119.63121227886711	Hjarðarhagi
26604311	26604315	333.41958418930545	Kvisthagi
26604311	26756986	69.17392552490949	Hjarðarhagi
26604315	26769916	69.3283860904118	Hjarðarhagi
26604315	26604311	119.63121227886708	Hjarðarhagi
26604315	26604311	333.41958418930545	Kvisthagi
26604318	26604322	136.94619125703286	Hjarðarhagi
26604318	26769916	71.11987705046565	Hjarðarhagi
26604318	26770022	229.8674887035758	Tómasarhagi
26604322	26604327	144.40255838378562	Hjarðarhagi
26604322	26604318	136.9461912570329	Hjarðarhagi
26604322	26770036	77.92063660531059	Dunhagi
26604322	26769922	257.4947681357627	Dunhagi
26604327	26604330	117.0946368833208	Hjarðarhagi
26604327	26604322	144.40255838378562	Hjarðarhagi
26604327	26770035	69.19779977810902	Smyrilsvegur
26604330	26604342	11.867867002492087	Hjarðarhagi
26604330	26604327	117.0946368833208	Hjarðarhagi
26604330	26770041	69.32226225778368	Suðurgata
26604332	26770049	258.9277559442519	Ægisíða
26604332	26586225	292.45564077797593	Ægisíða
26604332	26769916	152.90815370945333	Fornhagi
26604334	26770048	90.98758950699947	Ægisíða
26604334	26604340	194.72576299025638	Starhagi
26604340	26604341	13.140951672437376	Suðurgata
26604340	4953457817	72.35188470824106	Suðurgata
26604341	167293111	193.5187160238192	Suðurgata
26604342	26604330	11.867867002492087	Hjarðarhagi
26604342	167293023	117.39788062197279	Suðurgata
26604778	1221993889	142.99800626612006	Grettisgata
26604778	323237490	66.44018492687476	Rauðarárstígur
26604778	35925893	35.00322603383815	Rauðarárstígur
26604797	323237490	195.02479459312931	Rauðarárstígur
26604797	34510939	39.47499345468057	Rauðarárstígur
26604797	34517704	78.9327354233722	Háteigsvegur
26604803	34509998	66.71898466756633	Rauðarárstígur
26604803	5568844593	205.52099819795492	Flókagata
26604803	34510939	52.19267080345313	Rauðarárstígur
26604803	31143230	105.78274621472751	Flókagata
26604809	35926019	61.16428490251247	Snorrabraut
26604809	34509411	136.4813924402797	Grettisgata
26646773	1279254281	11.896877922038538	Flókagata
26646773	34511281	208.14798630339226	Flókagata
26646773	2021078042	93.15500188084134	Langahlíð
26646779	323217416	147.96899026430202	Njálsgata
26646779	34507329	26.868789005446423	Klapparstígur
26646782	26646779	62.741756148741864	Klapparstígur
26646787	26646782	216.68181734874952	Grettisgata
26646787	21579375	66.85709904155527	Frakkastígur
26646811	35619357	23.848148716165568	Spítalastígur
26646811	36138947	118.65149713536701	Þórsgata
26646842	36138947	132.8167640424129	Þórsgata
26646842	26646845	57.00213215527152	Njarðargata
26646842	26646844	29.438080058088808	Njarðargata
26646844	26646842	29.438080058088808	Njarðargata
26646844	21579328	20.35869728057449	Njarðargata
26646845	60711358	76.06470020194351	Njarðargata
26646845	26646842	57.00213215527152	Njarðargata
26646845	34507360	64.97715997389128	Freyjugata
26646845	35657537	172.38097025798766	Freyjugata
26646846	35295044	63.34881483583622	Njarðargata
26646846	35295049	53.00960121762817	Njarðargata
26646846	35294966	291.9682706909177	Bergstaðastræti
26646846	34507662	68.66618269177924	Bergstaðastræti
26646848	35656599	30.418530110124557	Njarðargata
26646848	34163601	37.75601716748613	Njarðargata
26656698	35924556	63.94533673840598	Suðurgata
26656698	35923889	183.809203678067	Suðurgata
26656698	34507105	40.33389217407214	Vonarstræti
